redhat jgroups	Product redhat jgroups
CVE-2018-16850	postgresql versions 11.1 , 10.6 vulnerable SQL injection pg_upgrade pg_dump via CREATE TRIGGER ... REFERENCING . Using purpose-crafted trigger definition , attacker cause arbitrary SQL statements run , superuser privileges .
elastic azure_repository	Product elastic azure_repository
CVE-2018-3827	sensitive data disclosure flaw found Elasticsearch repository-azure ( formerly elasticsearch-cloud-azure ) plugin . repository-azure plugin set log TRACE level Azure credentials inadvertently logged .
CVE-2022-27216	Jenkins dbCharts Plugin 0.5.2 earlier stores JDBC connection passwords unencrypted global configuration file Jenkins controller viewed users access Jenkins controller file system .
CVE-2020-5206	Opencast 7.6 8.1 , using remember-me cookie arbitrary username cause Opencast assume proper authentication user even remember-me cookie incorrect given attacked endpoint also allows anonymous access . way , attacker , example , fake remember-me token , assume identity global system administrator request non-public content search service without ever providing proper authentication . problem fixed Opencast 7.6 Opencast 8.1
CVE-2019-3788	Cloud Foundry UAA Release , versions prior 71.0 , allows clients configured insecure redirect uri . Given UAA client configured wildcard redirect uri 's subdomain , remote malicious unauthenticated user craft phishing link get UAA access code victim .
CVE-2013-7398	main/java/com/ning/http/client/AsyncHttpClientConfig.java Async Http Client ( aka AHC async-http-client ) 1.9.0 require hostname match verification X.509 certificates , allows man-in-the-middle attackers spoof HTTPS servers via arbitrary valid certificate .
CVE-2008-0002	Apache Tomcat 6.0.0 6.0.15 processes parameters context wrong request exception occurs parameter processing , might allow remote attackers obtain sensitive information , demonstrated disconnecting processing order trigger exception .
opentsdb opentsdb	Product opentsdb opentsdb
CVE-2018-12973	issue discovered OpenTSDB 2.3.0 . XSS parameter 'json ' /q URI .
asset_pipeline_project asset-pipeline	Product asset_pipeline_project asset-pipeline
CVE-2018-17605	issue discovered Asset Pipeline plugin 3.0.4 Grails . attacker perform directory traversal via crafted request servlet-based application executed Jetty , classloader vulnerability allow reverse file traversal route AssetPipelineFilter.groovy AssetPipelineFilterCore.groovy .
CVE-2020-2231	Jenkins 2.251 earlier , LTS 2.235.3 earlier escape remote address host starting build via 'Trigger builds remotely ' , resulting stored cross-site scripting ( XSS ) vulnerability exploitable users Job/Configure permission knowledge Authentication Token .
CVE-2018-17184	malicious user enough administration entitlements inject html-like elements containing JavaScript statements Connector names , Report names , AnyTypeClass keys Policy descriptions . another user enough administration entitlements edits one Entities via Admin Console , injected JavaScript code executed .
CVE-2020-9547	FasterXML jackson-databind 2.x 2.9.10.4 mishandles interaction serialization gadgets typing , related com.ibatis.sqlmap.engine.transaction.jta.JtaTransactionConfig ( aka ibatis-sqlmap ) .
CVE-2020-28953	BigBlueButton 2.2.29 , user vote single poll .
eficode influxdb	Product eficode influxdb
CVE-2019-10329	Jenkins InfluxDB Plugin 1.21 earlier stored credentials unencrypted global configuration file Jenkins master viewed users access master file system .
oracle sun_storage_common_array_manager	Product oracle sun_storage_common_array_manager
CVE-2011-4461	Jetty 8.1.0.RC2 earlier computes hash values form parameters without restricting ability trigger hash collisions predictably , allows remote attackers cause denial service ( CPU consumption ) sending many crafted parameters .
CVE-2018-12533	JBoss RichFaces 3.1.0 3.3.4 allows unauthenticated remote attackers inject expression language ( EL ) expressions execute arbitrary Java code via /DATA/ substring path org.richfaces.renderkit.html.Paint2DResource $ ImageData object , aka RF-14310 .
CVE-2017-7561	Red Hat JBoss EAP version 3.0.7 4.0.0.Beta1 vulnerable server-side cache poisoning CORS requests JAX-RS component resulting moderate impact .
fasterxml jackson-modules-java8	Product fasterxml jackson-modules-java8
CVE-2018-1000873	Fasterxml Jackson version 2.9.8 contains CWE-20 : Improper Input Validation vulnerability Jackson-Modules-Java8 result Causes denial-of-service ( DoS ) . attack appear exploitable via victim deserializes malicious input , specifically large values nanoseconds field time value . vulnerability appears fixed 2.9.8 .
CVE-2016-10531	marked application meant parse compile markdown . Due way marked 0.3.5 earlier parses input , specifically HTML entities , 's possible bypass marked 's content injection protection ( ` sanitize : true ` ) inject ` javascript : ` URL . flaw exists ` & # xNNanything ; ` gets parsed could leaves rest behind , resulting ` anything ; ` left .
jqueryui jquery_ui	Product jqueryui jquery_ui
CVE-2010-5312	Cross-site scripting ( XSS ) vulnerability jquery.ui.dialog.js Dialog widget jQuery UI 1.10.0 allows remote attackers inject arbitrary web script HTML via title option .
CVE-2013-1966	Apache Struts 2 2.3.14.2 allows remote attackers execute arbitrary OGNL code via crafted request properly handled using includeParams attribute ( 1 ) URL ( 2 ) tag .
CVE-2011-4969	Cross-site scripting ( XSS ) vulnerability jQuery 1.6.3 , using location.hash select elements , allows remote attackers inject arbitrary web script HTML via crafted tag .
CVE-2019-10754	Multiple classes used within Apereo CAS release 6.1.0-RC5 makes use apache commons-lang3 RandomStringUtils token ID generation makes predictable due RandomStringUtils PRNG 's algorithm cryptographically strong .
CVE-2017-11554	stack consumption vulnerability lex function parser.hpp ( used sassc ) LibSass 3.4.5 . crafted input lead remote denial service .
oracle agile_product_lifecycle_management_framework	Product oracle agile_product_lifecycle_management_framework
oracle peoplesoft_enterprise_human_capital_management_human_resources	Product oracle peoplesoft_enterprise_human_capital_management_human_resources
oracle tuxedo	Product oracle tuxedo
oracle internet_directory	Product oracle internet_directory
oracle enterprise_manager_for_fusion_middleware	Product oracle enterprise_manager_for_fusion_middleware
oracle communications_asap_cartridges	Product oracle communications_asap_cartridges
oracle financial_services_compliance_regulatory_reporting	Product oracle financial_services_compliance_regulatory_reporting
CVE-2018-8032	Apache Axis 1.x including 1.4 vulnerable cross-site scripting ( XSS ) attack default servlet/services .
CVE-2020-5407	Spring Security versions 5.2.x prior 5.2.4 5.3.x prior 5.3.2 contain signature wrapping vulnerability SAML response validation . using spring-security-saml2-service-provider component , malicious user carefully modify otherwise valid SAML response append arbitrary assertion Spring Security accept valid .
dot-object_project dot-object	Product dot-object_project dot-object
CVE-2019-10793	dot-object 2.1.3 vulnerable Prototype Pollution . set function could tricked adding modifying properties Object.prototype using __proto__ payload .
CVE-2018-1196	Spring Boot supports embedded launch script used easily run application systemd init.d linux service . script included Spring Boot 1.5.9 earlier 2.0.0.M1 2.0.0.M7 susceptible symlink attack allows `` run_user '' overwrite take ownership file system . order instigate attack , application must installed service `` run_user '' requires shell access server . Spring Boot application installed service , using embedded launch script susceptible .
CVE-2018-8815	Cross-site scripting ( XSS ) vulnerability gallery function Alkacon OpenCMS 10.5.3 allows remote attackers inject arbitrary web script HTML via malicious SVG image .
CVE-2015-1831	default exclude patterns ( excludeParams ) Apache Struts 2.3.20 allow remote attackers `` compromise internal state application '' via unspecified vectors .
CVE-2018-1274	Spring Data Commons , versions 1.13 1.13.10 , 2.0 2.0.5 , older unsupported versions , contain property path parser vulnerability caused unlimited resource allocation . unauthenticated remote malicious user ( attacker ) issue requests Spring Data REST endpoints endpoints using property path parsing cause denial service ( CPU memory consumption ) .
CVE-2019-16776	Versions npm CLI prior 6.13.3 vulnerable Arbitrary File Write . fails prevent access folders outside intended node_modules folder bin field . properly constructed entry package.json bin field would allow package publisher modify and/or gain access arbitrary files user 's system package installed . behavior still possible install scripts . vulnerability bypasses user using -- ignore-scripts install option .
CVE-2019-1003085	missing permission check Jenkins Zephyr Enterprise Test Management Plugin ZeeDescriptor # doTestConnection form validation method allows attackers Overall/Read permission initiate connection attacker-specified server .
apache openmeetings	Product apache openmeetings
CVE-2020-13951	Attackers use public NetTest web service Apache OpenMeetings 4.0.0-5.0.0 organize denial service attack .
CVE-2018-1048	found AJP connector undertow , shipped Jboss EAP 7.1.0.GA , use ALLOW_ENCODED_SLASH option thus allow slash / anti-slash characters encoded url may lead path traversal result information disclosure arbitrary local files .
CVE-2016-6311	Get requests JBoss Enterprise Application Platform ( EAP ) 7 disclose internal IP addresses remote attackers .
CWE-426	Untrusted Search Path
CVE-2016-8746	Apache Ranger 0.6.3 policy engine incorrectly matches paths certain conditions policy contain wildcards recursion flag set true .
CVE-2011-5034	Apache Geronimo 2.2.1 earlier computes hash values form parameters without restricting ability trigger hash collisions predictably , allows remote attackers cause denial service ( CPU consumption ) sending many crafted parameters . NOTE : might overlap CVE-2011-4461 .
CVE-2018-9116	XXE vulnerability within WireMock 2.16.0 allows remote unauthenticated attacker access local files internal resources potentially cause Denial Service .
CVE-2020-9495	Apache Archiva login service 2.2.5 vulnerable LDAP injection . attacker able retrieve user attribute data connected LDAP server providing special values login form . certain characters possible modify LDAP filter used query LDAP users . measuring response time login request , arbitrary attribute data retrieved LDAP user objects .
jenkins play_framework	Product jenkins play_framework
CVE-2020-2200	Jenkins Play Framework Plugin 1.0.2 earlier lets users specify path ` play ` command Jenkins master form validation endpoint , resulting OS command injection vulnerability exploitable users able store file Jenkins master .
CVE-2019-0213	Apache Archiva 2.2.4 , may possible store malicious XSS code central configuration entries , i.e . logo URL . vulnerability considered minor risk , users admin role change configuration , communication browser Archiva server must compromised .
node-tar_project node-tar	Product node-tar_project node-tar
CVE-2018-20834	vulnerability found node-tar version 4.4.2 ( excluding version 2.2.2 ) . Arbitrary File Overwrite issue exists extracting tarball containing hardlink file already exists system , conjunction later plain file name hardlink . plain file content replaces existing file content . patch applied node-tar v2.2.2 ) .
exadel flamingo_amf-serializer	Product exadel flamingo_amf-serializer
CVE-2017-3201	Java implementation AMF3 deserializers used Flamingo amf-serializer Exadel , version 2.2.0 derives class instances java.io.Externalizable rather AMF3 specification 's recommendation flash.utils.IExternalizable . remote attacker ability spoof control RMI server connection may able send serialized Java objects execute arbitrary code deserialized .
jenkins violation_comments_to_gitlab	Product jenkins violation_comments_to_gitlab
CVE-2019-10416	Jenkins Violation Comments GitLab Plugin 2.28 earlier stored credentials unencrypted job config.xml files Jenkins master could viewed users Extended Read permission , access master file system .
google kubernetes_engine	Product google kubernetes_engine
CVE-2019-10365	Jenkins Google Kubernetes Engine Plugin 0.6.2 earlier created temporary file containing temporary access token project workspace , could accessed users Job/Read permission .
CVE-2018-11804	Spark 's Apache Maven-based build includes convenience script , 'build/mvn ' , downloads runs zinc server speed compilation . included release branches since 1.3.x , including master . server accept connections external hosts default . specially-crafted request zinc server could cause reveal information files readable developer account running build . Note issue affect end users Spark , developers building Spark source code .
CVE-2014-7191	qs module 1.0.0 Node.js call compact function array data , allows remote attackers cause denial service ( memory consumption ) using large index value create sparse array .
CVE-2021-20220	flaw found Undertow . regression fix CVE-2020-10687 found . HTTP request smuggling related CVE-2017-2666 possible HTTP/1.x HTTP/2 due permitting invalid characters HTTP request . flaw allows attacker poison web-cache , perform XSS attack , obtain sensitive information request . highest threat vulnerability data confidentiality integrity .
jenkins jx_resources	Product jenkins jx_resources
CVE-2019-10339	missing permission check Jenkins JX Resources Plugin 1.0.36 earlier GlobalPluginConfiguration # doValidateClient allowed users Overall/Read access Jenkins connect attacker-specified Kubernetes server , potentially leaking credentials .
CVE-2018-9458	computeFocusedWindow RootWindowContainer.java , related functions , possible interception keypresses due focus wrong window . could lead local escalation privilege revealing user 's keypresses screen locked additional execution privileges needed . User interaction needed exploitation . Product : Android Versions : Android-8.0 Android-8.1 Android ID : A-71786287 .
CVE-2019-10325	cross-site scripting vulnerability Jenkins Warnings NG Plugin 5.0.0 earlier allowed attacker Job/Configure permission inject arbitrary JavaScript build overview pages .
CVE-2014-0228	Apache Hive 0.13.1 , SQL standards based authorization mode , properly check file permissions ( 1 ) import ( 2 ) export statements , allows remote authenticated users obtain sensitive information via crafted URI .
CWE-290	Authentication Bypass Spoofing
opennetworking onos	Product opennetworking onos
CVE-2019-11189	Authentication Bypass Spoofing org.onosproject.acl ( access control ) org.onosproject.mobility ( host mobility ) ONOS v2.0 earlier allows attackers bypass network access control via data plane packet injection . exploit vulnerability , attacker sends gratuitous ARP reply causes host mobility application remove existing access control flow denial rules network . access control application re-install flow deny rules , attacker bypass intended access control policy .
pippo pippo	Product pippo pippo
CVE-2019-5442	XML Entity Expansion ( Billion Laughs Attack ) Pippo 1.12.0 results Denial Service.Entities created recursively large amounts heap memory taken . Eventually , JVM process run memory . Otherwise , OS bound memory process , memory continue exhausted affect processes system .
CVE-2017-7678	Apache Spark 2.2.0 , possible attacker take advantage user 's trust server trick visiting link points shared Spark cluster submits data including MHTML Spark master , history server . data , could contain script , would reflected back user could evaluated executed MS Windows-based clients . attack Spark , user , may execute script inadvertently viewing elements Spark web UIs .
oracle identity_management_suite	Product oracle identity_management_suite
oracle advanced_supply_chain_planning	Product oracle advanced_supply_chain_planning
oracle communications_eagle_ftp_table_base_retrieval	Product oracle communications_eagle_ftp_table_base_retrieval
oracle hyperion_data_relationship_management	Product oracle hyperion_data_relationship_management
oracle e-business_suite_cloud_manager_and_cloud_backup_module	Product oracle e-business_suite_cloud_manager_and_cloud_backup_module
CVE-2022-23307	CVE-2020-9493 identified deserialization issue present Apache Chainsaw . Prior Chainsaw V2.0 Chainsaw component Apache Log4j 1.2.x issue exists .
CVE-2007-6721	Legion Bouncy Castle Java Cryptography API release 1.38 , used Crypto Provider Package 1.36 , unknown impact remote attack vectors related `` Bleichenbacher vulnerability simple RSA CMS signatures without signed attributes . ''
vmware vrealize_automation	Product vmware vrealize_automation
vmware vsphere_integrated_containers	Product vmware vsphere_integrated_containers
CVE-2017-4947	VMware Realize Automation ( 7.3 7.2 ) vSphere Integrated Containers ( 1.x 1.3 ) contain deserialization vulnerability via Xenon . Successful exploitation issue may allow remote attackers execute arbitrary code appliance .
CVE-2020-25802	Improper Control Dynamically-Managed Code Resources vulnerability Crafter Studio Crafter CMS allows authenticated developers execute OS commands via Groovy scripting . issue affects : Crafter Software Crafter CMS 3.0 versions prior 3.0.27 ; 3.1 versions prior 3.1.7 .
CVE-2020-2134	Sandbox protection Jenkins Script Security Plugin 1.70 earlier could circumvented crafted constructor calls crafted constructor bodies .
CVE-2019-14910	vulnerability found keycloak 7.x , keycloak configured LDAP user federation StartTLS used instead SSL/TLS LDAP server ( ldaps ) , case user authentication succeeds even invalid password entered .
jenkins google-play-android-publisher	Product jenkins google-play-android-publisher
CVE-2018-1000109	improper authorization vulnerability exists Jenkins Google Play Android Publisher Plugin version 1.6 earlier GooglePlayBuildStepDescriptor.java allow attacker obtain credential IDs .
mozilla bugzilla	Product mozilla bugzilla
CVE-2012-5883	Cross-site scripting ( XSS ) vulnerability Flash component infrastructure YUI 2.8.0 2.9.0 , used Bugzilla 3.7.x 4.0.x 4.0.9 , 4.1.x 4.2.x 4.2.4 , 4.3.x 4.4.x 4.4rc1 , allows remote attackers inject arbitrary web script HTML via vectors related swfstore.swf , similar issue CVE-2010-4209 .
CVE-2020-5230	Opencast 8.1 7.6 allows almost arbitrary identifiers media packages elements used . problematic operation security since identifiers sometimes used file system operations may lead attacker able escape working directories write files locations . addition , Opencast 's Id.toString ( … ) vs Id.compact ( … ) behavior , latter trying mitigate file system problems , cause errors due identifier mismatch since identifier may unintentionally change . issue fixed Opencast 7.6 8.1 .
CVE-2005-3745	Cross-site scripting ( XSS ) vulnerability Apache Struts 1.2.7 , possibly versions allows remote attackers inject arbitrary web script HTML via query string , properly quoted filtered request handler generates error message .
eclipse che	Product eclipse che
CVE-2020-10689	flaw found Eclipse Che version 7.8.x , properly restrict access workspace pods . authenticated user exploit flaw bypass JWT proxy gain access workspace pods another user . Successful exploitation requires knowledge service name namespace target pod .
CVE-2016-1000031	Apache Commons FileUpload 1.3.3 DiskFileItem File Manipulation Remote Code Execution
CVE-2015-6748	Cross-site scripting ( XSS ) vulnerability jsoup 1.8.3 .
CVE-2017-3166	Apache Hadoop versions 2.6.1 2.6.5 , 2.7.0 2.7.3 , 3.0.0-alpha1 , file encryption zone access permissions make world readable localized via YARN 's localization mechanism , file stored world-readable location shared freely application requests localize file .
CVE-2017-12165	discovered Undertow 1.4.17 , 1.3.31 2.0.0 processes http request headers unusual whitespaces cause possible http request smuggling .
CVE-2020-2197	Jenkins Project Inheritance Plugin 19.08.02 earlier require users Job/ExtendedRead permission access Inheritance Project job configurations XML format .
CVE-2019-10324	cross-site request forgery vulnerability Jenkins Artifactory Plugin 3.2.2 earlier ReleaseAction # doSubmit , GradleReleaseApiAction # doStaging , MavenReleaseApiAction # doStaging , UnifiedPromoteBuildAction # doSubmit allowed attackers schedule release build , perform release staging Gradle Maven projects , promote previously staged builds , respectively .
pivotal_software credhub_service_broker	Product pivotal_software credhub_service_broker
CVE-2018-15795	Pivotal CredHub Service Broker , versions prior 1.1.0 , uses guessable form random number generation creating service broker 's UAA client . remote malicious user may guess client secret obtain modify credentials users CredHub Service .
CVE-2018-1317	Apache Zeppelin prior 0.8.0 cron scheduler enabled default could allow users run paragraphs users without authentication .
CVE-2014-9634	Jenkins 1.586 set secure flag session cookies run Tomcat 7.0.41 later , makes easier remote attackers capture cookies intercepting transmission within HTTP session .
CVE-2014-0112	ParametersInterceptor Apache Struts 2.3.20 properly restrict access getClass method , allows remote attackers `` manipulate '' ClassLoader execute arbitrary code via crafted request . NOTE : vulnerability exists incomplete fix CVE-2014-0094 .
paypal mass_pay	Product paypal mass_pay
paypal transactional_information_soap	Product paypal transactional_information_soap
paypal payments_pro	Product paypal payments_pro
CVE-2012-5784	Apache Axis 1.4 earlier , used PayPal Payments Pro , PayPal Mass Pay , PayPal Transactional Information SOAP , Java Message Service implementation Apache ActiveMQ , products , verify server hostname matches domain name subject 's Common Name ( CN ) subjectAltName field X.509 certificate , allows man-in-the-middle attackers spoof SSL servers via arbitrary valid certificate .
CVE-2018-11047	Cloud Foundry UAA , versions 4.19 prior 4.19.2 4.12 prior 4.12.4 4.10 prior 4.10.2 4.7 prior 4.7.6 4.5 prior 4.5.7 , incorrectly authorizes requests admin endpoints accepting valid refresh token lieu access token . Refresh tokens design longer expiration time access tokens , allowing possessor refresh token authenticate longer expected . affects administrative endpoints UAA . i.e . /Users , /Groups , etc . However , user deleted groups removed , client deleted , refresh token longer valid .
CVE-2019-10241	Eclipse Jetty version 9.2.26 older , 9.3.25 older , 9.4.15 older , server vulnerable XSS conditions remote client USES specially formatted URL DefaultServlet ResourceHandler configured showing Listing directory contents .
CVE-2017-2613	jenkins versions 2.44 , 2.32.2 vulnerable user creation CSRF using GET admins . user record retained restart cases , administrators ' web browsers could manipulated create large number user records ( SECURITY-406 ) .
CVE-2019-17579	SonarSource SonarQube 7.8 XSS project links account/projects .
CVE-2017-2602	jenkins versions 2.44 , 2.32.2 vulnerable improper blacklisting Pipeline metadata files agent-to-master security subsystem . could allow metadata files written malicious agents ( SECURITY-358 ) .
CVE-2018-1000170	cross-site scripting vulnerability exists Jenkins 2.115 older , LTS 2.107.1 older , confirmationList.jelly stopButton.jelly allows attackers Job/Configure and/or Job/Create permission create item name containing JavaScript would executed another user 's browser user performs UI actions .
CVE-2019-18394	Server Side Request Forgery ( SSRF ) vulnerability FaviconServlet.java Ignite Realtime Openfire 4.4.2 allows attackers send arbitrary HTTP GET requests .
liulishuo filedownloader	Product liulishuo filedownloader
CVE-2018-11248	util/FileDownloadUtils.java FileDownloader 1.7.3 check attachment 's name . attacker places `` .. / '' file name , file stored unintended directory Directory Traversal .
apache commons_jelly	Product apache commons_jelly
CVE-2017-12621	Jelly ( xml ) file parsing Apache Xerces , custom doctype entity declared `` SYSTEM '' entity URL entity used body Jelly file , parser instantiation parser attempt connect said URL . could lead XML External Entity ( XXE ) attacks Apache Commons Jelly 1.0.1 .
CWE-281	Improper Preservation Permissions
CVE-2019-0233	access permission override Apache Struts 2.0.0 2.5.20 may cause Denial Service performing file upload .
CVE-2015-5262	http/conn/ssl/SSLConnectionSocketFactory.java Apache HttpComponents HttpClient 4.3.6 ignores http.socket.timeout configuration setting SSL handshake , allows remote attackers cause denial service ( HTTPS call hang ) via unspecified vectors .
CVE-2017-9794	cluster operating secure mode , user read privileges specific data regions use gfsh command line utility execute queries . Apache Geode 1.2.1 , query results may contain data another user 's concurrently executing gfsh query , potentially revealing data user authorized view .
CVE-2019-3875	vulnerability found keycloak 6.0.2 . X.509 authenticator supports verification client certificates CRL , CRL list obtained URL provided certificate ( CDP ) separately configured path . CRL often available network unsecured protocols ( 'http ' 'ldap ' ) hence caller verify signature possibly certification path . Keycloak currently n't validate signatures CRL , result possibility various attacks like man-in-the-middle .
CVE-2017-12629	Remote code execution occurs Apache Solr 7.1 Apache Lucene 7.1 exploiting XXE conjunction use Config API add-listener command reach RunExecutableListener class . Elasticsearch , although uses Lucene , vulnerable . Note XML external entity expansion vulnerability occurs XML Query Parser available , default , query request parameters deftype=xmlparser exploited upload malicious data /upload request handler Blind XXE using ftp wrapper order read arbitrary local files Solr server . Note also second vulnerability relates remote code execution using RunExecutableListener available affected versions Solr .
jenkins white_source	Product jenkins white_source
CVE-2020-2213	Jenkins White Source Plugin 19.1.1 earlier stores credentials unencrypted global configuration file job config.xml files Jenkins master viewed users Extended Read permission ( config.xml ) , access master file system .
CVE-2021-44878	OpenID Connect provider supports `` none '' algorithm ( i.e. , tokens signature ) , pac4j v5.3.0 ( prior ) refuse without explicit configuration side `` idtoken '' response type secure violates OpenID Core Specification . `` none '' algorithm require signature verification validating ID tokens , allows attacker bypass token validation injecting malformed ID token using `` none '' value `` alg '' key header empty signature value .
CVE-2019-10366	Jenkins Skytap Cloud CI Plugin 2.06 earlier stored credentials unencrypted job config.xml files Jenkins master could viewed users Extended Read permission , access master file system .
CVE-2017-15701	Apache Qpid Broker-J versions 6.1.0 6.1.4 ( inclusive ) broker properly enforce maximum frame size AMQP 1.0 frames . remote unauthenticated attacker could exploit cause broker exhaust available memory eventually terminate . Older AMQP protocols affected .
CVE-2017-2608	Jenkins versions 2.44 , 2.32.2 vulnerable remote code execution vulnerability involving deserialization various types javax.imageio XStream-based APIs ( SECURITY-383 ) .
plexus-utils_project plexus-utils	Product plexus-utils_project plexus-utils
CVE-2017-1000487	Plexus-utils 3.0.16 vulnerable command injection correctly process contents double quoted strings .
CVE-2021-28169	Eclipse Jetty versions < = 9.4.40 , < = 10.0.2 , < = 11.0.2 , possible requests ConcatServlet doubly encoded path access protected resources within WEB-INF directory . example request ` /concat ? / % 2557EB-INF/web.xml ` retrieve web.xml file . reveal sensitive information regarding implementation web application .
CVE-2015-1832	XML external entity ( XXE ) vulnerability SqlXmlUtil code Apache Derby 10.12.1.1 , Java Security Manager place , allows context-dependent attackers read arbitrary files cause denial service ( resource consumption ) via vectors involving XmlVTI XML datatype .
CVE-2018-11696	issue discovered LibSass 3.5.4 . NULL pointer dereference found function Sass : :Inspect : :operator could leveraged attacker cause denial service ( application crash ) possibly unspecified impact .
squareup okhttp3	Product squareup okhttp3
CVE-2016-2402	OkHttp 2.7.4 3.x 3.1.2 allows man-in-the-middle attackers bypass certificate pinning sending certificate chain certificate non-pinned trusted CA pinned certificate .
CVE-2019-20174	Auth0 Lock 11.21.0 allows XSS additionalSignUpFields used untrusted placeholder .
jenkins pipeline_github_notify_step	Product jenkins pipeline_github_notify_step
CVE-2020-2117	missing permission check Jenkins Pipeline GitHub Notify Step Plugin 1.0.4 earlier allows attackers Overall/Read permission connect attacker-specified URL using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
jenkins sonar_gerrit	Product jenkins sonar_gerrit
CVE-2019-10467	Jenkins Sonar Gerrit Plugin stores credentials unencrypted job config.xml files Jenkins master viewed users Extended Read permission , access master file system .
mjml mjml	Product mjml mjml
CVE-2020-12827	MJML prior 4.6.3 contains path traversal vulnerability processing mj-include directive within MJML document .
CWE-401	Missing Release Memory Effective Lifetime
CVE-2020-25689	memory leak flaw found WildFly versions 21.0.0.Final , host-controller tries reconnect loop , generating new connections properly closed able connect domain-controller . flaw allows attacker cause memory ( OOM ) issue , leading denial service . highest threat vulnerability system availability .
CVE-2017-2646	found Keycloak 2.5.5 receives Logout request Extensions middle request , SAMLSloRequestParser.parse ( ) method ends infinite loop . attacker could use flaw conduct denial service attacks .
CVE-2012-5351	Apache Axis2 allows remote attackers forge messages bypass authentication via SAML assertion lacks Signature element , aka `` Signature exclusion attack , '' different vulnerability CVE-2012-4418 .
apache dubbo	Product apache dubbo
CVE-2020-1948	vulnerability affect Dubbo users stay version 2.7.6 lower . attacker send RPC requests unrecognized service name method name along malicious parameter payloads . malicious parameter deserialized , execute malicious code . details found .
jenkins poll_scm	Product jenkins poll_scm
CVE-2017-1000093	Poll SCM Plugin requiring requests API sent via POST , thereby opening Cross-Site Request Forgery attacks . allowed attackers initiate polling projects known name . Jenkins general consider polling protection-worthy action 's similar cache invalidation , plugin specifically adds permission able use functionality , issue undermines permission .
CVE-2020-2111	Jenkins Subversion Plugin 2.13.0 earlier escape error message Project Repository Base URL field form validation , resulting stored cross-site scripting vulnerability .
jenkins git_client	Product jenkins git_client
CVE-2019-10392	Jenkins Git Client Plugin 2.8.4 earlier 3.0.0-rc properly restrict values passed URL argument invocation 'git ls-remote ' , resulting OS command injection .
CVE-2012-5629	default configuration ( 1 ) LdapLoginModule ( 2 ) LdapExtLoginModule modules JBoss Enterprise Application Platform ( EAP ) 4.3.0 CP10 , 5.2.0 , 6.0.1 , Enterprise Web Platform ( EWP ) 5.2.0 allow remote attackers bypass authentication via empty password .
CVE-2020-2299	Jenkins Active Directory Plugin 2.19 earlier allows attackers log user magic constant used password .
CVE-2015-5318	Jenkins 1.638 LTS 1.625.2 uses publicly accessible salt generate CSRF protection tokens , makes easier remote attackers bypass CSRF protection mechanism via brute force attack .
CVE-2017-15718	YARN NodeManager Apache Hadoop 2.7.3 2.7.4 leak password credential store provider used NodeManager YARN Applications .
CVE-2019-16555	user-supplied regular expression Jenkins Build Failure Analyzer Plugin 1.24.1 earlier processed way n't interruptible , allowing attackers Jenkins evaluate regular expression without ability interrupt process .
CVE-2016-6346	RESTEasy enables GZIPInterceptor , allows remote attackers cause denial service via unspecified vectors .
CVE-2019-14653	pandao Editor.md 1.5.0 allows XSS via attribute ABBR SUP element .
CVE-2018-17244	Elasticsearch Security versions 6.4.0 6.4.2 contain error way request headers applied requests using Active Directory , LDAP , Native , File realms . request may receive headers intended another request username authenticated concurrently ; used run , result request running incorrect user . could allow user access information access .
CVE-2014-8152	Apache Santuario XML Security Java 2.0.x 2.0.3 allows remote attackers bypass streaming XML signature protection mechanism via crafted XML document .
CVE-2020-24705	issue discovered certain WSO2 products . valid Carbon Management Console session cookie may sent attacker-controlled server victim submits crafted Try request , aka Session Hijacking . affects API Manager 3.1.0 , API Manager Analytics 2.5.0 , Key Manager 5.10.0 , Identity Server 5.10.0 , Identity Server Analytics 5.6.0 , IoT Server 3.1.0 .
jenkins robot_framework	Product jenkins robot_framework
CVE-2020-2092	Jenkins Robot Framework Plugin 2.0.0 earlier configure XML parser prevent XML external entity ( XXE ) attacks , allowing users Job/Configure Jenkins parse crafted XML documents .
CVE-2019-0200	Denial Service vulnerability found Apache Qpid Broker-J versions 6.0.0-7.0.6 ( inclusive ) 7.1.0 allows unauthenticated attacker crash broker instance sending specially crafted commands using AMQP protocol versions 1.0 ( AMQP 0-8 , 0-9 , 0-91 0-10 ) . Users Apache Qpid Broker-J versions 6.0.0-7.0.6 ( inclusive ) 7.1.0 utilizing AMQP protocols 0-8 , 0-9 , 0-91 , 0-10 must upgrade Qpid Broker-J versions 7.0.7 7.1.1 later .
CVE-2009-0580	Apache Tomcat 4.1.0 4.1.39 , 5.5.0 5.5.27 , 6.0.0 6.0.18 , FORM authentication used , allows remote attackers enumerate valid usernames via requests /j_security_check malformed URL encoding passwords , related improper error checking ( 1 ) MemoryRealm , ( 2 ) DataSourceRealm , ( 3 ) JDBCRealm authentication realms , demonstrated % ( percent ) value j_password parameter .
CVE-2019-10473	missing permission check Jenkins Libvirt Slaves Plugin form-related methods allowed users Overall/Read access enumerate credentials ID credentials stored Jenkins .
